,-1,0,1
0,assist,tony,ne
1,induction,capacity,ba
2,environmental,robin,mu
3,primeval,michael,gi
4,mammals,welcome,lu
5,sapiens,digital,
6,gravelly,world,
7,swap,new,
8,carriers,life,
9,airy,first,
10,gorgeous,day,
11,pheromones,rest,
12,resembles,becoming,
13,contemporary,personality,
14,knowingly,construct,
15,seeded,regarded,
16,burrowed,many,
17,outgoing,exciting,
18,dodge,next,
19,withering,step,
20,promoted,personal,
21,dip,development,
22,suckers,however,
23,exhibit,little,
24,deposited,particularly,
25,integrity,circumstances,
26,rubberized,atomic,
27,hemmed,would,
28,stifled,say,
29,collections,physical,
30,awaiting,mean,
31,failsafe,remember,
32,attending,making,
33,sprung,choice,
34,arriving,led,
35,halves,transition,
36,unreality,please,
37,snowflakes,take,
38,pairs,moment,
39,whimpered,read,
40,import,guide,
41,whining,reality,
42,crisply,carefully,
43,elapsed,ordered,
44,compete,potential,
45,bah,stress,
46,conducting,ahead,
47,treading,social,
48,unbreakable,care,
49,potentials,operative,
50,materializing,along,
51,libraries,shortly,
52,misshapen,phase,
53,representation,without,
54,rehabilitation,go,
55,inflict,year,
56,attributed,may,
57,gnarled,come,
58,cursory,shock,
59,specializing,try,
60,albeit,put,
61,stunted,aside,
62,silt,branch,
63,lain,ea,
64,increasing,devoted,
65,representing,helping,
66,towered,humans,
67,invaded,medical,
68,discrimination,education,
69,favored,crime,
70,numbered,punishment,
71,invisibly,counseling,
72,invading,advice,
73,summary,handled,
74,roused,us,
75,overlap,agency,
76,february,thing,
77,counterpart,earth,
78,cunningly,domain,
79,hypnotic,occupied,
80,tandem,artificial,
81,disembodied,intelligences,
82,unhealthy,von,
83,accompany,neumann,
84,deflated,machines,
85,invention,replicate,
86,separating,robots,
87,peacefully,animals,
88,completed,plants,
89,intersected,insects,
90,sailing,get,
91,beamed,fair,
92,muster,slice,
93,thrive,pie,
94,revert,runs,
95,absentmindedly,everyone,
96,hasty,agree,
97,deepening,hear,
98,negligible,people,
99,fractally,talking,
100,artifacts,watcher,
101,lodged,believe,
102,unearthly,ai,
103,breathtaking,powerful,
104,proportions,others,
105,mysteriously,created,
106,reckoning,ais,
107,detour,leading,
108,leveled,humankind,
109,operational,better,
110,busier,future,
111,acutely,myth,
112,bounded,see,
113,convoluted,religious,
114,teens,debate,
115,pathway,alive,
116,fore,well,
117,scorched,century,
118,giddy,exactly,
119,sixties,ah,
120,lent,crux,
121,maturity,matter,
122,smallest,simply,
123,finesse,human,
124,unravel,mind,
125,unrolled,running,
126,heavens,computer,
127,shortage,actually,
128,shave,old,
129,heroin,fashioned,
