,-1,0,1,2,3
0,tony,wells,robots,world,ducked
1,capacity,ring,evolution,new,organization
2,robin,philip,queue,life,second
3,michael,rule,west,first,hit
4,welcome,council,robot,day,band
5,digital,ross,empathy,rest,investigation
6,becoming,lan,testing,many,europe
7,personality,con,test,next,explosive
8,construct,gene,evolve,step,colony
9,regarded,clan,undergo,personal,france
10,exciting,cicada,superior,however,shot
11,development,murray,pear,little,aiming
12,particularly,union,develop,circumstances,fire
13,atomic,mechanists,listing,would,fired
14,transition,auditor,harness,say,french
15,guide,slashing,bye,physical,essentially
16,reality,tenure,dog,mean,russian
17,ordered,madam,administered,remember,states
18,potential,aliens,poker,making,cannon
19,stress,mare,police,choice,weapon
20,social,clique,friendly,led,staggered
21,operative,diplomatic,w,please,willow
22,shortly,nora,operator,take,trigger
23,assist,constantine,miss,moment,america
24,phase,shaper,def,read,armed
25,induction,paolo,crams,carefully,government
26,branch,zaibatsu,prototype,ahead,alliance
27,ea,defectors,officer,care,barrel
28,devoted,cartel,anyhow,along,american
29,helping,margaret,department,without,firing
30,medical,genetics,rugby,go,international
31,education,siege,association,year,gun
32,crime,republic,catalogue,may,kitty
33,punishment,unplanned,receiver,come,rifle
34,counseling,skimmers,p,shock,neo
35,handled,sneezed,kay,try,bass
36,environmental,harem,dutch,put,resistance
37,agency,investors,monday,aside,corporation
38,earth,mech,goat,humans,political
39,domain,ensign,bail,advice,country
40,occupied,carl,buster,us,auto
41,artificial,cartels,weekend,thing,rounds
42,intelligences,mavrides,ants,get,sa
43,von,chancellor,sketchy,fair,agent
44,neumann,investor,testify,runs,aimed
45,machines,schismatrix,pat,everyone,classified
46,replicate,lindsay,susan,agree,holster
47,animals,alexandrina,andy,hear,reload
48,plants,abelard,tom,people,assault
49,insects,mechanist,courtroom,talking,weapons
50,slice,serenitatis,san,believe,guns
51,pie,circumlunar,francisco,others,bullets
52,watcher,shapers,fathom,leading,muzzle
53,ai,vera,chart,better,domestic
54,powerful,preservationist,floundered,see,aim
55,created,sundog,scooter,alive,admin
56,ais,tranquillitatis,opera,well,grenade
57,humankind,concatenation,tuxedo,exactly,bergen
58,future,tyler,dexter,ah,percussion
59,myth,sundogs,hunters,matter,shotgun
60,religious,kelland,briefcase,simply,guitar
61,debate,dze,onionskin,human,pistol
62,century,ryumin,retire,mind,bulls
63,crux,diplomat,interval,running,united
64,fashioned,breakaway,harry,computer,hitler
65,phrase,kitsune,jose,actually,armies
66,concept,mechs,seattle,old,paris
67,nowadays,kleo,debug,longer,european
68,processing,fazil,compression,important,racist
69,space,agnes,androids,right,troops
70,recognized,detente,rick,briefly,charlie
71,laid,slingshot,deckard,period,samson
72,issues,bola,iran,assumed,claire
73,relating,mystique,andys,full,mm
74,rights,goldreich,bounty,control,tate
75,pcs,tremaine,specials,return,russians
76,established,beyer,barbour,question,angelo
77,apply,fernand,percheron,real,cia
78,birth,vetterling,inspector,somewhere,launcher
79,exists,detentiste,colt,thoughts,stoner
80,instant,kosmosity,sidney,one,barricade
81,primeval,militants,mercerism,particular,communists
82,soup,kluster,mercer,time,grenades
83,worlds,zeuner,empathic,nothing,nations
84,cellular,juliano,retiring,said,rifles
85,replication,fetzko,hunter,live,israeli
86,ferns,neville,dave,difference,policing
87,dinosaurs,pongpianskul,holden,place,russ
88,creatures,superbrights,hovercar,onto,fascist
89,crawled,superbright,android,climbed,lester
90,gasping,cataclysts,chickenhead,net,fascism
91,sea,dembowska,hannibal,great,nato
92,land,milosz,sloat,steps,saisc
93,mammals,carnassus,wilbur,taking,steinfeld
94,trees,cataclyst,lombard,ready,jenkins
95,process,clades,bryant,ones,nr
96,resulted,morrissey,marsten,true,fascists
97,sapiens,stantine,rosen,raised,mossad
98,algorithm,neotenic,nexus,warm,firstep
99,turing,nysa,voigt,green,rimpler
100,machine,czarina,kampff,tanned,unic
101,neural,advisors,vidphone,brown,technicki
102,join,wellspring,vidscreen,blond,technickis
103,adventure,posthumanism,salesman,hair,barkin
104,helen,gomez,poop,gave,molt
105,spot,navarre,polokov,looked,bonham
106,sunlight,lifesiders,retired,good,yukio
107,dappled,szilard,lasered,knew,nazis
108,eyebrows,nakamura,proves,could,nazi
109,challenge,,rachael,tell,praeger
110,kevin,,eldon,rubbed,rickenharp
111,amongst,,gauges,chin,witcher
112,glade,,marrow,around,worldtalk
113,limbs,,administer,eyes,radics
114,flower,,pris,necessary,carmen
115,plaited,,stratton,touch,radic
116,appearance,,milt,voice,frenchman
117,exaggerated,,carpenter,like,judith
118,fashion,,pilsen,smiled,kips
119,arboretum,,horace,leaned,messer
120,lingering,,kadalyi,back,krellman
121,hmm,,luba,watched,administrator
122,delicious,,luft,feel,kessler
123,gravelly,,carbons,felt,nationalist
124,rumble,,singer,glow,levassier
125,waggled,,rehearsal,inside,kurland
126,bark,,phil,shoulders,soviets
127,lime,,resch,body,torrence
128,tree,,garland,way,danco
129,kneel,,boneli,grey,autochopper
130,leaves,,roy,fingers,lila
131,miracle,,baty,made,karakos
132,defined,,irmgard,wonder,anarchists
133,v,,batys,arms,spoes
